œ “-3	30.04.2018	√-4	836217,96
œ “-3	30.04.2018	√-5	557478,64
œ “-3	30.04.2018	√-6	487793,81
œ “-3	30.04.2018	√-7	1463381,43
œ “-3	30.04.2018	√-8	1114957,28
œ “-3	30.04.2018	√-9	627163,47
œ “-3	31.05.2018	√-1	1076289,69
œ “-3	31.05.2018	√-10	1845068,04
œ “-3	31.05.2018	√-11	922534,02
œ “-3	31.05.2018	√-12	999411,855
œ “-3	31.05.2018	√-13	1076289,69
œ “-3	31.05.2018	√-14	999411,855
œ “-3	31.05.2018	√-2	1768190,205
œ “-3	31.05.2018	√-3	1076289,69
œ “-3	31.05.2018	√-4	922534,02
œ “-3	31.05.2018	√-5	615022,68
œ “-3	31.05.2018	√-6	538144,845
œ “-3	31.05.2018	√-7	1614434,535
œ “-3	31.05.2018	√-8	1230045,36
œ “-3	31.05.2018	√-9	691900,515
œ “-3	30.06.2018	√-1	941792,88
œ “-3	30.06.2018	√-10	1614502,08
œ “-3	30.06.2018	√-11	807251,04
œ “-3	30.06.2018	√-12	874521,96
œ “-3	30.06.2018	√-13	941792,88
œ “-3	30.06.2018	√-14	874521,96
œ “-3	30.06.2018	√-2	1547231,16
œ “-3	30.06.2018	√-3	941792,88
œ “-3	30.06.2018	√-4	807251,04
œ “-3	30.06.2018	√-5	538167,36
œ “-3	30.06.2018	√-6	470896,44
œ “-3	30.06.2018	√-7	1412689,32
œ “-3	30.06.2018	√-8	1076334,72
œ “-3	30.06.2018	√-9	605438,28
œ “-3	31.07.2018	√-1	972537,72
œ “-3	31.07.2018	√-10	1667207,52
œ “-3	31.07.2018	√-11	833603,76
œ “-3	31.07.2018	√-12	903070,74
œ “-3	31.07.2018	√-13	972537,72
œ “-3	31.07.2018	√-14	903070,74
œ “-3	31.07.2018	√-2	1597740,54
œ “-3	31.07.2018	√-3	972537,72
œ “-3	31.07.2018	√-4	833603,76
œ “-3	31.07.2018	√-5	555735,84
œ “-3	31.07.2018	√-6	486268,86
œ “-3	31.07.2018	√-7	1458806,58
œ “-3	31.07.2018	√-8	1111471,68
œ “-3	31.07.2018	√-9	625202,82
œ “-3	31.08.2018	√-1	1114486,45
œ “-3	31.08.2018	√-10	1910548,2
œ “-3	31.08.2018	√-11	955274,1
œ “-3	31.08.2018	√-12	1034880,275
œ “-3	31.08.2018	√-13	1114486,45
œ “-3	31.08.2018	√-14	1034880,275
œ “-3	31.08.2018	√-2	1830942,025
œ “-3	31.08.2018	√-3	1114486,45
